repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
n8n-io/n8n,185621,5158,2330,1179,121,27.788,0,1,2500,689,TypeScript,false,100.000,83,586,Automation
navidrome/navidrome,20708,701,329,164,39,33.852,0,0,3713,221,Go,false,100.000,14,63,Media Streaming
lardbit/nefarious,1234,10,7,4,1,8.104,0,40,2716,11,Python,false,33.000,0,0,Media Management
m1k1o/neko,20686,503,292,106,10,24.316,0,0,2233,56,Go,false,100.000,1,12,Miscellaneous
AlexSciFier/neonlink,396,9,3,1,0,22.727,4,34,1468,3,JavaScript,false,18.000,0,0,Bookmarks and Link Sharing
netalertx/NetAlertX,6271,344,268,80,12,54.856,0,2,1585,97,Python,false,100.000,21,135,Network Utilities
lutzroeder/netron,32805,191,100,43,1,5.822,0,0,5599,1,JavaScript,false,100.000,1,58,Analytics
samuelclay/NewsBlur,7437,65,29,11,1,8.740,0,2,6319,91,Python,false,90.000,1,259,Feed Readers
pulsejet/memories,3755,30,10,3,1,7.989,0,2,1352,48,Vue,false,85.000,3,28,Photo Galleries
nextcloud/server,34738,365,150,88,11,10.507,0,0,3615,1156,PHP,false,100.000,49,472,File Transfer & Synchronization
nextcloud/nextcloudpi,2894,20,6,3,0,6.911,1,4,3359,306,Shell,false,61.000,4,23,Self-hosting Solutions
NginxProxyManager/nginx-proxy-manager,32616,430,192,84,15,13.184,0,34,3048,248,TypeScript,false,68.000,0,0,Web Servers
nginx/nginx,30073,405,195,86,14,13.467,0,1,3959,110,C,false,100.000,11,31,Web Servers
ngircd/ngircd,559,12,5,2,1,21.467,0,127,5226,41,C,false,26.000,0,0,Communication
nocodb/nocodb,62848,457,193,97,13,7.272,0,1,3100,331,TypeScript,false,100.000,10,781,Database Management
node-red/node-red,23049,129,63,36,7,5.597,0,15,4615,247,JavaScript,false,78.000,4,18,Internet of Things (IoT)
NodeBB/NodeBB,15050,37,16,8,0,2.458,2,2,4751,224,JavaScript,false,75.000,5,32,Communication
osm-search/Nominatim,4216,64,36,16,2,15.180,0,5,5166,118,Python,false,90.000,3,42,Maps and Global Positioning System (GPS)
not-three/main,13,0,0,0,0,0.000,134,79,778,1,Shell,false,0.000,0,0,Pastebins
enchant97/note-mark,655,31,27,23,3,47.328,0,3,1892,5,TypeScript,false,76.000,1,15,Note-taking & Editors
notifo-io/notifo,866,4,1,1,0,4.619,3,32,1951,10,C#,false,18.000,0,0,Communication
novuhq/novu,38864,195,92,36,5,5.017,0,0,1703,445,TypeScript,false,100.000,15,226,Communication
binwiederhier/ntfy,29887,498,220,106,13,16.663,0,3,1645,325,Go,false,100.000,10,53,Communication
apankrat/nullboard,4132,8,4,3,0,1.936,2,902,2554,7,HTML,false,12.000,0,0,Task Management & To-do Lists
MayaPosch/NymphCast,2545,4,3,2,1,1.572,0,105,2634,8,C,false,22.000,0,0,Media Streaming
octobercms/october,11136,11,6,2,0,0.988,6,2,4533,374,PHP,false,71.000,4,29,Content Management Systems (CMS)
Drakkar-Software/OctoBot,5792,306,223,74,8,52.831,0,27,2983,15,Python,false,74.000,2,7,"Money, Budgeting & Management"
octobox/octobox,4461,8,3,1,0,1.793,3,3,3417,113,Ruby,false,52.000,2,50,Software Development
OctoPrint/OctoPrint,8967,42,17,12,2,4.684,0,3,4863,263,Python,false,75.000,3,98,Manufacturing
simonwep/ocular,489,29,11,5,1,59.305,0,5,1493,13,Vue,false,67.000,2,4,"Money, Budgeting & Management"
kensanata/oddmuse,89,0,0,0,0,0.000,40,274,4080,17,Perl,false,0.000,0,0,Wikis
odoo/odoo,50323,675,334,146,18,13.413,0,0,4365,3623,Python,false,100.000,256,644,Resource Planning
apache/ofbiz-framework,1035,21,10,8,2,20.290,0,4,3359,99,Java,false,75.000,6,85,Resource Planning
offen/offen,974,3,2,2,0,3.080,2,53,2572,13,JavaScript,false,18.000,0,0,Analytics
OliveTin/OliveTin,3525,44,25,17,6,12.482,0,46,1814,19,Go,false,48.000,0,0,Automation
ollama/ollama,170026,4454,1703,802,100,26.196,0,0,1034,599,Go,false,100.000,15,114,Generative Artificial Intelligence (GenAI)
Ombi-app/Ombi,4067,10,6,2,1,2.459,0,0,3712,129,C#,false,87.000,3,125,Media Management
omeka/omeka-s,481,7,4,3,1,14.553,0,1,4639,40,PHP,false,64.000,2,9,Archiving and Digital Preservation (DP)
omeka/Omeka,534,6,5,4,1,11.236,0,4,5413,50,PHP,false,54.000,1,6,Content Management Systems (CMS)
iib0011/omni-tools,9336,419,282,232,33,44.880,0,0,681,40,TypeScript,false,100.000,6,90,Miscellaneous
onetimesecret/onetimesecret,2767,32,17,9,0,11.565,3,2,4833,14,Ruby,false,75.000,4,888,Communication
onionshare/onionshare,6936,30,15,6,3,4.325,0,45,4358,242,Python,false,41.000,0,0,File Transfer
ONLYOFFICE/DocumentServer,6469,118,64,32,3,18.241,0,50,4312,62,Shell,false,66.000,0,0,Office Suites
onyx-dot-app/onyx,28520,10078,1940,965,81,353.366,0,0,1095,195,Python,false,100.000,19,538,Generative Artificial Intelligence (GenAI)
LogicLabs-OU/OpenArchiver,1951,94,32,20,4,48.180,0,26,289,9,TypeScript,false,60.000,1,1,Archiving and Digital Preservation (DP)
gunet/openeclass,160,1,0,0,0,6.250,19,3,4014,33,PHP,false,42.000,8,110,Learning and Courses
openfoodfoundation/openfoodnetwork,1242,9,6,5,1,7.246,0,0,4939,286,Ruby,false,77.000,9,231,Community-Supported Agriculture (CSA)
open-meteo/open-meteo,5225,190,68,39,4,36.364,0,1,1767,75,Swift,false,100.000,4,17,Miscellaneous
Epic-Breakfast-Productions/OpenQuarterMaster,62,1,0,0,0,16.129,22,5,1884,20,Java,false,42.000,4,135,Inventory Management
opensourcepos/opensourcepos,4170,77,55,10,1,18.465,0,3,4533,196,PHP,false,100.000,7,105,E-commerce
Project-OSRM/osrm-backend,7668,97,47,32,3,12.650,0,2,5329,203,C++,false,100.000,14,52,Maps and Global Positioning System (GPS)
open-webui/open-webui,134181,5731,3023,1700,203,42.711,0,1,932,762,Python,false,100.000,25,410,Generative Artificial Intelligence (GenAI)
TheAxelander/OpenBudgeteer,955,12,8,7,0,12.565,2,129,1632,8,C#,false,21.000,0,0,"Money, Budgeting & Management"
opencart/opencart,8100,36,21,12,0,4.444,2,0,5381,395,PHP,false,90.000,7,136,E-commerce
opencloud-eu/opencloud,5272,285,122,47,8,54.059,0,0,470,54,Go,false,100.000,13,94,File Transfer & Synchronization
openemr/openemr,5097,63,28,16,2,12.360,0,0,5818,272,PHP,false,90.000,15,279,Health and Fitness
igniterealtime/Openfire,3020,10,5,2,0,3.311,2,0,4402,143,Java,false,72.000,5,80,Communication
thomiceli/opengist,3101,56,32,8,2,18.059,0,0,1111,77,Go,false,100.000,1,1,Pastebins
openhab/openhab-core,1106,7,2,1,0,6.329,4,2,3779,308,Java,false,62.000,14,43,Internet of Things (IoT)
Jinjinov/OpenHabitTracker,241,19,5,3,1,78.838,0,19,893,2,C#,false,46.000,2,112,Task Management & To-do Lists
openmediavault/openmediavault,6650,77,34,15,1,11.579,0,0,3644,70,PHP,false,100.000,2,92,Self-hosting Solutions
apache/openmeetings,675,1,1,0,0,1.481,11,19,4062,33,Java,false,17.000,2,8,Groupware
OpenOLAT/OpenOLAT,419,4,2,1,0,9.547,2,2,2950,15,Java,false,62.000,4,218,Learning and Courses
OpenOlitor/openolitor-server,20,0,0,0,0,0.000,521,40,3811,13,Scala,false,6.000,0,0,Community-Supported Agriculture (CSA)
opf/openproject,14919,257,136,62,8,17.226,0,0,4896,283,Ruby,false,100.000,29,1195,Software Development
richardr1126/openreader,310,13,7,3,0,41.935,2,7,463,4,TypeScript,false,51.000,3,29,Miscellaneous
openremote/openremote,1727,21,7,1,0,12.160,2,1,3734,47,Java,false,75.000,9,36,Internet of Things (IoT)
GIScience/openrouteservice,1884,33,15,8,1,17.516,0,4,3148,65,Java,false,71.000,5,19,Maps and Global Positioning System (GPS)
opensearch-project/OpenSearch,12815,185,89,44,2,14.436,0,1,1912,511,Java,false,100.000,46,130,Search Engines
opensignlabs/opensign,6231,108,61,28,4,17.333,0,40,936,35,JavaScript,false,66.000,0,0,Document Management
OpenSIPS/opensips,1459,9,3,2,0,6.169,1,0,4734,148,C,false,72.000,19,347,Communication
OpenSlides/OpenSlides,602,6,1,0,0,9.967,13,5,5016,51,Shell,false,39.000,3,5,Conference Management
OpenSMTPD/OpenSMTPD,570,6,4,2,0,10.526,3,30,5058,93,C,false,18.000,0,0,Communication
openstreetmap/openstreetmap-website,2703,42,16,6,1,15.538,0,1,5838,251,Ruby,false,85.000,15,170,Maps and Global Positioning System (GPS)
HaschekSolutions/opentrashmail,859,14,7,4,0,16.298,1,241,2447,18,PHP,false,21.000,0,0,Communication
opentripplanner/OpenTripPlanner,2617,32,13,10,2,12.228,0,1,5395,202,Java,false,85.000,15,281,Maps and Global Positioning System (GPS)
OpenTTD/OpenTTD,7819,96,44,23,4,12.278,0,0,2941,222,C++,false,100.000,18,139,Games
openziti/ziti,4116,81,41,15,0,19.679,1,1,2346,50,Go,false,90.000,5,76,Miscellaneous
operational-co/operational.co,458,23,5,2,0,50.218,1,39,931,2,Vue,false,26.000,0,0,Miscellaneous
comet-ml/opik,19062,630,302,163,27,33.050,0,0,1081,116,Python,false,100.000,36,485,Software Development
OpnForm/OpnForm,3265,48,19,13,2,14.701,0,5,1313,32,PHP,false,67.000,3,9,Polls and Events
openSUSE/osem,915,5,4,3,0,5.464,2,8,4964,159,Ruby,false,42.000,2,31,Conference Management
opensource-socialnetwork/opensource-socialnetwork,1207,10,7,4,0,8.285,1,5,4257,24,PHP,false,53.000,1,20,Communication
RotherOSS/otobo,323,3,0,0,0,9.288,14,0,2277,69,Perl,false,64.000,12,175,Ticketing
Luzifer/ots,752,8,4,1,0,10.638,5,0,3187,26,Go,false,72.000,2,75,Communication
redimp/otterwiki,1399,43,16,8,1,30.736,0,5,2852,29,Python,false,75.000,4,70,Wikis
nanawel/our-shopping-list,186,7,2,1,0,37.634,3,53,1818,14,JavaScript,false,18.000,0,0,Task Management & To-do Lists
OutlineFoundation/outline-server,6205,19,11,5,1,3.062,0,11,2965,44,TypeScript,false,53.000,2,5,Proxy
outline/outline,38275,517,275,113,14,13.508,0,0,3625,233,TypeScript,false,100.000,10,178,Wikis
OvenMediaLabs/OvenMediaEngine,3123,40,13,5,1,12.808,0,2,2857,61,C++,false,85.000,4,25,Media Streaming
overleaf/overleaf,17611,148,76,35,6,8.404,0,2,4459,163,JavaScript,false,100.000,29,149,Note-taking & Editors
owncast/owncast,11185,134,34,15,4,11.980,0,0,2163,180,Go,false,100.000,9,122,Media Streaming
owncloud/core,8767,22,12,2,0,2.509,5,1,4991,639,PHP,false,71.000,4,13,File Transfer & Synchronization
owntracks/recorder,1159,12,5,3,1,10.354,0,50,3907,46,C,false,32.000,0,0,Maps and Global Positioning System (GPS)
OXID-eSales/oxideshop_ce,238,1,0,0,0,4.202,26,30,4766,139,PHP,false,8.000,0,0,E-commerce
WardPearce/paaster,533,2,0,0,0,3.752,21,5,1514,6,Svelte,false,40.000,2,12,Pastebins
fosrl/pangolin,20427,830,299,102,13,40.632,0,4,576,86,TypeScript,false,100.000,8,566,Web Servers
paperless-ngx/paperless-ngx,39919,2341,1950,1398,34,58.644,0,0,1533,388,Python,false,100.000,7,134,Document Management
papermerge/papermerge-core,472,23,19,19,2,48.729,0,40,1950,9,Python,false,41.000,0,0,Document Management
papra-hq/papra,4334,296,120,85,43,68.297,0,0,479,31,TypeScript,false,100.000,3,78,Document Management
erudika/para,565,2,0,0,0,3.540,21,1,4430,15,Java,false,50.000,1,17,Software Development
Part-DB/Part-DB-server,1601,60,22,10,1,37.477,0,4,2618,46,PHP,false,80.000,8,32,Inventory Management
passbolt/passbolt_api,5864,79,34,19,2,13.472,0,17,3715,347,PHP,false,70.000,8,47,Password Managers
pglombardo/PasswordPusher,2979,65,18,5,0,21.819,1,0,5232,58,Ruby,false,85.000,5,95,Pastebins
interaapps/pastefy,426,6,5,2,0,14.085,1,12,2590,8,Vue,false,32.000,1,1,Pastebins
payloadcms/payload,42035,683,315,160,11,16.248,0,1,1936,543,TypeScript,false,100.000,76,186,Content Management Systems (CMS)
mrmn2/PdfDing,1691,31,14,11,1,18.332,0,14,515,9,Python,false,51.000,4,18,Document Management
Peergos/Peergos,2398,21,9,6,1,8.757,0,0,4628,17,Java,false,95.000,3,153,File Transfer & Synchronization
Chocobozzz/PeerTube,14649,78,33,16,2,5.325,0,1,3831,523,TypeScript,false,100.000,19,152,Media Streaming
pelican-dev/panel,2021,57,26,11,3,28.204,0,2,768,218,PHP,false,82.000,6,10,Games
penpot/penpot,46151,1210,884,734,383,26.218,0,1,3770,248,Clojure,false,100.000,37,473,Miscellaneous
Volmarg/personal-management-system,3976,42,19,5,1,10.563,0,3,2587,7,PHP,false,71.000,1,12,Personal Dashboards
SmilyOrg/photofield,576,3,1,0,0,5.208,12,89,2141,4,Go,false,7.000,0,0,Photo Galleries
photoprism/photoprism,39574,196,67,36,5,4.953,0,0,3010,188,Go,false,100.000,6,74,Photo Galleries
photoview/photoview,6407,33,11,7,0,5.151,2,2,2484,80,TypeScript,false,61.000,5,13,Photo Galleries
phpbb/phpbb,2056,12,4,3,0,5.837,1,24,5899,229,PHP,false,36.000,3,34,Communication
phpList/phplist3,845,12,4,2,0,14.201,1,333,4063,75,PHP,false,16.000,0,0,Communication
pi-hole/pi-hole,57723,1536,1252,1148,32,26.610,0,1,4339,241,Shell,false,100.000,6,60,DNS
mtlynch/picoshare,2908,59,47,3,2,20.289,0,14,1532,16,Go,false,62.000,2,7,File Transfer
CaramelFur/Picsur,1223,10,6,2,0,8.177,2,195,1524,3,TypeScript,false,17.000,0,0,File Transfer
HaschekSolutions/pictshare,908,4,2,1,0,4.405,2,31,3833,22,PHP,false,18.000,0,0,File Transfer
bpatrik/pigallery2,2170,18,7,4,1,8.295,0,4,3696,77,TypeScript,false,67.000,1,11,Photo Galleries
jsuto/piler,301,15,8,6,2,49.834,0,0,748,23,PHP,false,83.000,4,8,Archiving and Digital Preservation (DP)
pimcore/pimcore,3748,15,11,6,1,4.002,0,2,5290,541,PHP,false,81.000,11,38,Content Management Systems (CMS)
kieraneglin/pinchflat,4858,134,60,29,3,27.583,0,130,828,14,Elixir,false,60.000,0,0,Media Management
madeofpendletonwool/PinePods,851,27,11,5,0,31.727,3,144,1331,18,Rust,false,25.000,0,0,Media Streaming
piqueserver/piqueserver,231,1,1,0,0,4.329,11,1,3406,40,Python,false,45.000,1,1,Games
Piwigo/Piwigo,3779,27,17,8,1,7.145,0,0,3927,74,PHP,false,87.000,2,5,Photo Galleries
pixelfed/pixelfed,6950,31,12,4,1,4.460,0,10,2931,182,PHP,false,65.000,2,47,Communication
alextselegidis/plainpad,396,3,1,1,0,7.576,3,2,2364,3,JavaScript,false,58.000,2,16,Note-taking & Editors
makeplane/plane,48409,1535,786,341,40,31.709,0,0,1253,163,TypeScript,false,100.000,9,38,Software Development
plankanban/planka,11902,203,103,44,2,17.056,0,7,2430,155,JavaScript,false,90.000,4,34,Task Management & To-do Lists
plausible/analytics,24662,215,100,50,3,8.718,0,2,2699,115,Elixir,false,100.000,11,54,Analytics
root-gg/plik,1749,28,11,4,0,16.009,2,1,4024,33,Go,false,75.000,3,49,File Transfer
mynaparrot/plugNmeet-server,451,10,8,5,1,22.173,0,1,1521,3,Go,false,77.000,3,50,Communication
pluxml/PluXml,234,2,1,0,0,8.547,10,155,5022,31,PHP,false,7.000,0,0,Blogging Platforms
pocketbase/pocketbase,57980,942,481,295,39,16.247,0,3,1391,62,Go,false,100.000,1,66,Software Development
SamTV12345/PodFetch,472,9,2,0,0,19.068,11,1,1162,15,Rust,false,57.000,3,90,Media Management
agersant/polaris,2595,23,11,6,0,8.863,3,13,3542,20,Rust,false,47.000,1,3,Media Streaming
pomerium/pomerium,4757,34,23,11,1,7.147,0,1,2672,92,Go,false,90.000,9,57,Web Servers
joho1968/POMjs,49,0,0,0,0,0.000,30,1005,1284,2,JavaScript,false,0.000,0,0,Miscellaneous
kodehat/portkey,107,7,5,4,0,65.421,2,1,795,1,Go,false,62.000,3,82,Personal Dashboards
abrenaut/posio,676,2,1,1,0,2.959,4,636,3586,7,Python,false,12.000,0,0,Games
postalserver/postal,16474,77,42,25,3,4.674,0,83,3293,46,Ruby,false,50.000,0,0,Communication
posthog/posthog,33635,1477,1128,1018,346,43.913,0,0,2284,454,Python,false,100.000,132,2582,Analytics
gitroomhq/postiz-app,29527,1981,1538,532,149,67.091,0,0,1022,72,TypeScript,false,100.000,4,80,Analytics
PrestaShop/PrestaShop,9046,53,17,9,0,5.859,1,3,4905,881,PHP,false,65.000,20,137,E-commerce
pretalx/pretalx,896,9,6,3,0,10.045,3,2,3347,158,Python,false,67.000,4,134,Conference Management
pretix/pretix,2380,32,17,8,0,13.445,0,4,4247,386,Python,false,65.000,16,83,E-commerce
prismelabs/analytics,125,1,0,0,0,8.000,23,72,839,1,TypeScript,false,2.000,0,0,Analytics
PrivateBin/PrivateBin,8232,96,46,19,2,11.662,0,12,3578,139,PHP,false,72.000,3,9,Pastebins
david-bai00/PrivyDrop,127,5,1,1,0,39.370,2,29,313,2,TypeScript,false,24.000,1,4,File Transfer
projectsend/projectsend,1872,32,16,8,1,17.094,0,7,4428,62,PHP,false,65.000,2,29,File Transfer
psi-4ward/psitransfer,1876,21,6,3,1,11.194,0,12,3289,32,JavaScript,false,57.000,1,2,File Transfer
pterodactyl/panel,8822,107,46,22,3,12.129,0,20,3793,182,PHP,false,62.000,3,4,Games
publify/publify,1852,1,0,0,0,0.540,17,125,6393,79,Less,false,2.000,0,0,Content Management Systems (CMS)
pufferpanel/pufferpanel,1678,14,8,4,1,8.343,0,5,4569,49,Go,false,63.000,1,8,Games
pushbits/server,357,3,1,1,0,8.403,5,105,2100,3,Go,false,12.000,0,0,Communication
heyputer/puter,40677,682,453,259,33,16.766,0,0,784,362,JavaScript,false,100.000,13,120,File Transfer & Synchronization
pydio/cells,2194,22,12,4,1,10.027,0,1,2954,21,Go,false,85.000,7,47,File Transfer & Synchronization
pyload/pyload,3751,37,19,9,1,9.864,0,0,4822,185,Python,false,95.000,7,88,Automation
aunefyren/poenskelisten,190,3,0,0,0,15.789,16,40,1280,3,Go,false,10.000,0,0,Miscellaneous
qbittorrent/qBittorrent,36716,620,288,147,31,16.886,0,1,5195,404,C++,false,100.000,13,35,File Transfer
Qloapps/QloApps,13012,324,165,90,5,24.900,0,17,3827,14,PHP,false,80.000,3,37,Booking and Scheduling
codidact/qpixel,440,1,0,0,0,2.273,29,22,2278,57,Ruby,false,22.000,2,26,Communication
quassel/quassel,772,6,4,3,0,7.772,1,294,4890,126,C++,false,12.000,0,0,Communication
ihexxa/quickshare,629,4,2,0,0,6.359,7,11,2898,5,Go,false,29.000,1,2,File Transfer
nymanjens/quizmaster,320,9,3,0,0,28.125,12,373,2385,7,Scala,false,7.000,0,0,Games
Radarr/Radarr,13519,224,98,49,10,16.569,0,7,3408,800,C#,false,84.000,2,4,Media Management
Kozea/Radicale,4597,87,35,20,1,18.925,0,0,5372,174,Python,false,100.000,9,285,Calendar & Contacts
lukevella/rallly,5064,59,23,9,1,11.651,0,1,4106,32,TypeScript,false,90.000,1,101,Booking and Scheduling
ryanlelek/Raneto,2881,10,5,2,1,3.471,0,39,4348,67,JavaScript,false,28.000,0,0,Wikis
hauxir/rapidbay,829,2,1,1,1,2.413,0,89,2721,3,Python,false,22.000,0,0,Media Streaming
rapidforge-io/rapidforge,36,2,0,0,0,55.556,20,0,686,1,JavaScript,false,64.000,1,24,Software Development
gorcon/rcon-cli,655,9,5,2,0,13.740,4,321,2469,10,Go,false,12.000,0,0,Games
AmruthPillai/Reactive-Resume,36459,556,248,129,21,15.250,0,0,2222,189,TypeScript,false,100.000,12,66,Miscellaneous
lemon24/reader,534,7,3,2,1,13.109,0,1,3044,7,Python,false,72.000,2,37,Feed Readers
ncarlier/readflow,468,2,1,1,0,4.274,3,57,2575,9,Go,false,18.000,0,0,Feed Readers
Reaparr/Reaparr,636,19,7,3,0,29.874,4,2,2200,8,C#,false,71.000,1,302,Media Management
Receipt-Wrangler/receipt-wrangler,214,7,5,4,0,32.710,3,2,1376,4,TypeScript,false,62.000,4,98,"Money, Budgeting & Management"
julianpoy/recipesage,863,15,5,3,1,17.381,0,0,2666,60,TypeScript,false,86.000,9,196,Recipe Management
reaper47/recipya,395,7,4,4,3,17.722,0,21,1803,16,Go,false,34.000,3,6,Recipe Management
redeclipse/base,509,3,2,0,0,5.894,9,18,4099,51,C++,false,19.000,1,4,Games
getredash/redash,28536,259,207,43,4,9.076,0,25,4562,500,Python,false,72.000,2,2,Analytics
redaxo/core,346,0,0,0,0,0.000,124,13,5774,78,PHP,false,30.000,5,37,Content Management Systems (CMS)
redlib-org/redlib,3266,74,43,20,2,22.658,0,1,851,56,Rust,false,96.000,2,15,Communication
r3-team/r3,558,5,4,2,0,8.961,3,0,1678,10,JavaScript,false,72.000,3,71,"Money, Budgeting & Management"
inducer/relate,422,1,1,0,0,2.370,9,4,4349,19,Python,false,45.000,3,36,Learning and Courses
umputun/remark42,5483,30,16,7,2,5.471,0,4,3049,139,Go,false,75.000,6,23,Communication
bestpractical/rt,1111,8,2,1,0,7.201,2,1,6136,90,Perl,false,62.000,4,87,Ticketing
rero/rero-ils,87,0,0,0,0,0.000,67,2,3182,26,Python,false,46.000,3,12,Document Management
datarhei/restreamer,4995,39,19,6,1,7.808,0,118,3791,22,HTML,false,35.000,0,0,Media Streaming
JMBeresford/retrom,1912,55,25,9,3,28.766,0,13,737,4,TypeScript,false,62.000,4,7,Games
RetroShare/RetroShare,1966,14,7,4,0,7.121,1,5,3921,74,C++,false,53.000,2,8,Communication
hakimel/reveal.js,71073,290,136,66,6,4.080,0,5,5436,326,JavaScript,false,98.000,2,14,Miscellaneous
letsrevel/revel-backend,78,2,0,0,0,25.641,18,0,257,4,Python,false,60.000,1,13,Polls and Events
reviewboard/reviewboard,1702,9,2,1,1,5.288,0,5,6090,214,Python,false,62.000,3,65,Software Development
revive-adserver/revive-adserver,1445,12,4,1,1,8.304,0,5,4666,64,PHP,false,58.000,2,9,Miscellaneous
w4/rgit,207,3,1,1,0,14.493,5,335,1390,5,Rust,false,12.000,0,0,Software Development
robustirc/robustirc,194,1,1,0,0,5.155,13,134,4123,5,Go,false,5.000,0,0,Communication
RocketChat/Rocket.Chat,45201,266,103,45,4,5.885,0,1,3995,958,TypeScript,false,100.000,29,156,Communication
rommapp/romm,8686,260,106,56,10,29.933,0,2,1144,109,Python,false,100.000,14,240,Games
roundcube/roundcubemail,6934,83,37,17,2,11.970,0,17,5104,291,PHP,false,62.000,3,7,Communication
fonoster/routr,1678,10,3,1,0,5.959,5,46,3385,9,TypeScript,false,18.000,0,0,Communication
RSS-Bridge/rss-bridge,8899,113,55,24,2,12.698,0,2,4645,355,PHP,false,100.000,8,8,Feed Readers
pietheinstrengholt/rssmonster,466,4,0,0,0,8.584,14,8,4777,7,JavaScript,false,26.000,1,9,Feed Readers
rss2email/rss2email,445,4,2,0,0,8.989,7,373,3150,52,Python,false,7.000,0,0,Feed Readers
DIYgod/RSSHub,43640,736,331,155,14,16.865,0,0,2945,1352,TypeScript,false,100.000,28,260,Feed Readers
rstudio/rstudio,4984,19,10,5,1,3.812,0,2,5618,396,Java,false,81.000,10,116,Software Development
rudderlabs/rudder-server,4399,26,11,8,1,5.910,0,1,2473,108,Go,false,85.000,9,44,Analytics
orhun/rustypaste,1154,9,5,1,0,7.799,2,4,1733,33,Rust,false,44.000,4,7,Pastebins
rybbit-io/rybbit,12023,161,66,43,19,13.391,0,0,466,41,TypeScript,false,100.000,6,45,Analytics
ignisda/ryot,3244,55,22,13,1,16.954,0,7,1118,23,TypeScript,false,62.000,2,5,Personal Dashboards
gp247net/s-cart,7,0,0,0,0,0.000,41,151,247,2,PHP,false,0.000,0,0,E-commerce
sabre-io/dav,1700,4,3,2,0,2.353,1,24,5314,110,PHP,false,24.000,2,2,Calendar & Contacts
chaitin/SafeLine,21086,186,94,44,4,8.821,0,172,1109,29,Go,false,60.000,0,0,Web Servers
saleor/saleor,22849,147,81,44,9,6.434,0,2,4820,260,Python,false,100.000,6,34,E-commerce
saltcorn/saltcorn,2006,9,5,0,0,4.487,7,2,2223,38,JavaScript,false,57.000,5,56,Software Development
SAMA-Communications/sama-server,153,3,1,1,0,19.608,2,17,1314,8,JavaScript,false,24.000,1,5,Communication
samvera/hyrax,197,1,0,0,0,5.076,19,8,3434,241,Ruby,false,28.000,4,15,Document Management
sandstorm-io/sandstorm,7021,12,6,4,0,1.709,1,70,4491,102,JavaScript,false,21.000,0,0,Self-hosting Solutions
scm-manager/scm-manager,169,1,0,0,0,5.917,14,19,2239,40,Java,false,14.000,2,4,Software Development
Erudika/scoold,916,3,2,1,0,3.275,5,2,3368,28,Java,false,62.000,1,31,Communication
screego/server,10357,50,27,19,2,4.828,0,1,2109,18,Go,false,82.000,1,4,Communication
scribble-rs/scribble.rs,631,4,3,3,0,6.339,2,0,2509,35,Go,false,62.000,1,1,Games
haiwen/seafile,14627,147,72,33,4,10.050,0,10,5036,95,C,false,82.000,3,4,File Transfer & Synchronization
searxng/searxng,29050,1824,926,450,48,62.788,0,1,1839,272,Python,false,100.000,9,44,Search Engines
seatsurfing/seatsurfing,280,7,1,0,0,25.000,13,0,1612,26,Go,false,67.000,5,142,Booking and Scheduling
seaweedfs/seaweedfs,31746,614,299,129,21,19.341,0,0,4303,441,Go,false,100.000,20,357,File Transfer
seerr-team/seerr,11015,572,291,119,22,51.929,0,0,1509,419,TypeScript,false,100.000,22,69,Media Management
