repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
juntagrico/juntagrico,54,0,0,0,0,0.000,53,2,3311,34,Python,false,50.000,2,27,Community-Supported Agriculture (CSA)
jupyterlab/jupyterlab,15109,69,37,11,3,4.567,0,0,3613,646,TypeScript,false,100.000,17,50,Software Development
kamailio/kamailio,2805,38,18,8,1,13.547,0,0,4519,340,C,false,95.000,20,173,Communication
kanboard/kanboard,9559,53,27,11,1,5.545,0,3,4473,355,PHP,false,72.000,3,10,Task Management & To-do Lists
usekaneo/kaneo,3459,133,53,22,4,38.450,0,0,481,46,TypeScript,false,100.000,14,345,Software Development
Casvt/Kapowarr,936,39,17,9,0,41.667,1,27,1361,15,Python,false,37.000,1,4,Document Management
karakeep-app/karakeep,24853,575,274,125,19,23.136,0,1,809,188,TypeScript,false,100.000,18,78,Bookmarks and Link Sharing
bhj/KaraokeEternal,802,21,8,6,0,26.185,1,70,3632,96,TypeScript,false,25.000,0,0,Media Streaming
Kareadita/Kavita,10403,245,119,63,10,23.551,0,1,1960,245,C#,false,100.000,5,57,Document Management
pentacent/keila,2079,33,18,5,0,15.873,1,3,1940,31,Elixir,false,61.000,2,16,Communication
kestra-io/kestra,26758,260,111,54,3,9.717,0,0,2436,445,Java,false,100.000,32,321,Automation
keygen-sh/keygen-api,1410,34,18,7,0,24.113,1,1,3667,9,Gherkin,false,75.000,1,24,Miscellaneous
keystonejs/keystone,9868,28,15,9,1,2.837,0,3,2942,268,TypeScript,false,71.000,6,16,Content Management Systems (CMS)
khoj-ai/khoj,34253,713,270,122,16,20.816,0,31,1714,67,Python,false,68.000,0,0,Generative Artificial Intelligence (GenAI)
kibitzr/kibitzr,714,5,2,2,0,7.003,3,18,3529,22,Python,false,24.000,1,2,Automation
killbill/killbill,5445,59,26,12,2,10.836,0,3,4934,44,Java,false,72.000,2,8,"Money, Budgeting & Management"
kimai/kimai,4615,48,22,5,1,10.401,0,0,3474,331,PHP,false,96.000,2,14,Time Tracking
Kinto/kinto,4417,3,1,1,0,0.679,1,1,4077,132,Python,false,58.000,3,12,File Transfer & Synchronization
getkirby/kirby,1497,7,3,1,0,4.676,4,3,3123,73,PHP,false,52.000,3,110,Content Management Systems (CMS)
kiwiirc/kiwiirc,976,12,7,4,0,12.295,3,13,3430,36,Vue,false,41.000,1,1,Communication
kiwix/kiwix-tools,852,25,12,6,2,29.343,0,55,3463,43,C++,false,41.000,0,0,Document Management
idno/idno,1112,4,2,1,0,3.597,4,13,4842,67,PHP,false,34.000,2,4,Blogging Platforms
xbmc/xbmc,20698,163,70,34,3,7.875,0,0,5591,938,C++,false,100.000,31,237,Media Streaming
koel/koel,17112,45,21,10,3,2.630,0,0,3793,98,PHP,false,100.000,5,68,Media Streaming
Koha-Community/Koha,558,6,4,2,0,10.753,1,1,4965,323,Perl,false,62.000,44,298,Document Management
benjaminjonard/koillection,1171,40,13,6,1,34.159,0,26,2913,13,PHP,false,51.000,2,11,Miscellaneous
gotson/komga,6177,126,61,28,4,20.398,0,2,2453,169,Kotlin,false,100.000,5,18,Document Management
Kong/kong,43263,259,111,54,8,5.987,0,59,4177,703,Lua,false,68.000,0,0,Software Development
kottster/kottster,1151,15,7,2,0,13.032,1,99,643,5,TypeScript,false,21.000,0,0,Database Management
krayin/laravel-crm,22281,386,192,107,6,17.324,0,4,1785,42,Blade,false,100.000,2,28,Customer Relationship Management (CRM)
kresusapp/kresus,335,1,0,0,0,2.985,27,0,4285,34,TypeScript,false,58.000,2,12,"Money, Budgeting & Management"
tontof/kriss_feed,288,1,0,0,0,3.472,16,109,5069,22,PHP,false,2.000,0,0,Feed Readers
thedevs-network/kutt,10724,69,28,17,1,6.434,0,57,2993,55,JavaScript,false,46.000,0,0,URL Shorteners
zoriya/kyoo,2408,91,51,38,7,37.791,0,0,2457,43,TypeScript,false,100.000,8,160,Media Streaming
getlago/lago,9571,122,49,29,4,12.747,0,3,1518,38,Go,false,86.000,7,13,"Money, Budgeting & Management"
lancachenet/monolithic,874,7,2,0,0,8.009,7,99,2684,24,Shell,false,7.000,0,0,Games
langfuse/langfuse,26088,2293,1366,967,42,87.895,0,0,1073,161,TypeScript,false,100.000,23,246,Software Development
languagetool-org/languagetool,14413,228,68,30,5,15.819,0,0,4643,212,Java,false,100.000,10,161,Miscellaneous
leantime/leantime,9545,136,63,28,4,14.248,0,13,4110,152,PHP,false,90.000,5,25,Software Development
ledgersmb/LedgerSMB,532,3,2,0,0,5.639,9,0,4403,34,Perl,false,67.000,4,103,Resource Planning
LeedRSS/Leed,232,1,0,0,0,4.310,25,1,4789,18,PHP,false,44.000,1,2,Feed Readers
LemmyNet/lemmy,14355,60,29,14,2,4.180,0,1,2627,256,Rust,false,86.000,5,20,Communication
leon-ai/leon,17190,133,50,30,6,7.737,0,3,2631,18,TypeScript,false,92.000,2,91,Automation
javalikescript/lha,12,0,0,0,0,0.000,209,1,2592,1,Lua,false,42.000,1,4,Internet of Things (IoT)
LibreTranslate/LibreTranslate,14237,212,102,42,9,14.891,0,18,1953,225,Python,false,74.000,2,2,Miscellaneous
LibreBooking/librebooking,710,20,10,5,0,28.169,1,0,2018,69,PHP,false,81.000,5,106,Booking and Scheduling
abhinavxd/libredesk,2453,80,56,43,4,32.613,0,0,713,10,Go,false,100.000,2,228,Ticketing
michaelstaake/LibreKB,58,0,0,0,0,0.000,54,117,719,2,PHP,false,0.000,0,0,Knowledge Management Tools
LibrePhotos/librephotos,7980,31,18,13,3,3.885,0,2,1991,76,Python,false,85.000,7,200,Photo Galleries
bashrc2/libreserver,48,1,0,0,0,20.833,27,1,1815,2,Shell,false,48.000,1,18,Self-hosting Solutions
LibreTime/libretime,924,9,2,1,0,9.740,1,6,3352,110,PHP,false,44.000,3,7,Media Streaming
Lidarr/Lidarr,5265,117,61,35,7,22.222,0,7,3276,485,C#,false,84.000,2,4,Media Management
TheWicklowWolf/LidaTube,333,10,6,4,0,30.030,2,38,935,1,Python,false,23.000,0,0,Media Management
TheWicklowWolf/Lidify,555,27,22,21,2,48.649,0,64,773,2,Python,false,40.000,0,0,Media Management
lichess-org/lila,18114,181,81,41,4,9.992,0,0,5177,511,Scala,false,100.000,29,572,Games
